vendor_number,VendorName,brand,TotalSalesDollars,TotalSalesQuantity,TotalSalesPrice,TotalExciseTax,TotalPurchaseDollars,TotalPurchaseQuantity,VendorPurchasePrice,ActualProductPrice,TotalFreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
653,STATE WINE & SPIRITS,20715,1195.74,26.0,321.93,1.4800000000000002,907.8,30,30.26,30.26,8014.98,287.94000000000005,24.080485724321345,0.8666666666666667,1.317184401850628
653,STATE WINE & SPIRITS,21300,399.60000000000014,40.0,279.7200000000001,4.430000000000001,34.0,5,6.8,6.8,8014.98,365.60000000000014,91.4914914914915,8.0,11.752941176470593
653,STATE WINE & SPIRITS,21685,8128.189999999943,581.0,4868.519999999958,64.51999999999985,3155.0399999999995,336,9.39,9.39,8014.98,4973.149999999943,61.18397822885511,1.7291666666666667,2.576255768548083
653,STATE WINE & SPIRITS,21686,195.86,14.0,83.94,1.56,108.96,12,9.08,9.08,8014.98,86.90000000000002,44.36842642703973,1.1666666666666667,1.7975403817914832
653,STATE WINE & SPIRITS,21992,1873.1300000000017,287.0,949.7200000000009,32.00999999999996,836.34,159,5.26,5.26,8014.98,1036.7900000000018,55.350669734615366,1.8050314465408805,2.2396752516918976
653,STATE WINE & SPIRITS,23253,64067.94999999999,3205.0,31504.240000001057,356.7900000000085,33380.780000000035,2554,13.07,13.07,8014.98,30687.169999999955,47.89784908054645,1.254894283476899,1.9193065590438547
653,STATE WINE & SPIRITS,23255,22505.230000000072,1877.0,11954.029999999822,208.71000000000265,12838.98000000001,1617,7.94,7.94,8014.98,9666.250000000062,42.95112736017375,1.1607915893630179,1.7528830171867278
653,STATE WINE & SPIRITS,23256,25223.970000000107,1803.0,9611.129999999885,201.3300000000018,4150.380000000001,442,9.39,9.39,8014.98,21073.590000000106,83.54588908883105,4.079185520361991,6.077508565480775
653,STATE WINE & SPIRITS,23257,11191.999999999909,800.0,6981.009999999925,88.75999999999982,205.26,22,9.33,9.33,8014.98,10986.739999999909,98.1660114367405,36.36363636363637,54.52596706615955
653,STATE WINE & SPIRITS,23259,5609.759999999974,624.0,2562.149999999989,69.47999999999993,428.4,70,6.12,6.12,8014.98,5181.359999999974,92.36330966030629,8.914285714285715,13.094677871148399
653,STATE WINE & SPIRITS,23260,1309.5200000000007,188.0,503.08000000000044,20.999999999999996,374.33000000000004,83,4.51,4.51,8014.98,935.1900000000006,71.41471684281264,2.2650602409638556,3.49830363582935
653,STATE WINE & SPIRITS,23795,11336.909999999927,709.0,5868.329999999949,78.89999999999989,4579.2,424,10.8,10.8,8014.98,6757.709999999927,59.60804134459893,1.6721698113207548,2.475740303983213
653,STATE WINE & SPIRITS,23796,5663.639999999978,436.0,2546.0399999999927,48.61999999999991,4163.64,471,8.84,8.84,8014.98,1499.9999999999773,26.48473419920728,0.9256900212314225,1.3602616940945849
